City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bredasdorp,0,ZA,1615070464,77,-34.5322,20.0403,64.4,8.05
Ponta do Sol,40,PT,1615070490,67,32.6667,-17.1,60.8,19.57
Avarua,75,CK,1615070468,78,-21.2078,-159.775,80.6,8.05
Jamestown,90,US,1615070470,95,42.097,-79.2353,26.01,9.89
Moberly,1,US,1615070710,33,39.4184,-92.4382,60.8,6.35
Saint-Philippe,75,RE,1615070468,83,-21.3585,55.7679,77.0,3.44
Arraial do Cabo,100,BR,1615070467,88,-22.9661,-42.0278,75.34,9.82
Ilulissat,90,GL,1615070497,86,69.2167,-51.1,21.2,2.42
Nishihara,90,JP,1615070479,78,26.1842,127.7558,69.8,13.8
Kyra,13,RU,1615070710,87,49.5776,111.9753,6.3,2.84
Mazyr,0,BY,1615070710,87,52.0495,29.2456,27.32,12.57
Castro,6,BR,1615070465,92,-24.7911,-50.0119,63.25,1.25
Vaini,75,TO,1615070465,74,-21.2,-175.2,87.8,14.97
Torbay,40,CA,1615070476,74,47.6666,-52.7314,30.0,11.5
Albany,99,US,1615070463,46,42.6001,-73.9662,25.0,8.5
Kohat,75,PK,1615070645,63,33.582,71.4493,64.4,11.5
Bireun,88,ID,1615070371,74,5.203,96.7009,77.31,4.05
Hobart,0,AU,1615070463,71,-42.8794,147.3294,61.0,8.05
Nago,90,JP,1615070711,94,26.5881,127.9761,69.8,10.36
Mahébourg,75,MU,1615070481,78,-20.4081,57.7,80.6,11.5
Hobyo,28,SO,1615070360,78,5.3505,48.5268,76.75,16.46
Langsa,75,ID,1615070706,87,4.4683,97.9683,73.58,2.17
New Norfolk,64,AU,1615070471,64,-42.7826,147.0587,61.0,4.0
Tiarei,75,PF,1615070494,66,-17.5333,-149.3333,87.01,4.61
Poli,23,TZ,1615070711,69,-3.3333,36.8,62.74,3.65
Hualmay,52,PE,1615070580,74,-11.0964,-77.6139,74.75,10.85
Saskylakh,94,RU,1615070471,85,71.9167,114.0833,-24.07,6.8
George Town,20,MY,1615070473,88,5.4112,100.3354,78.01,2.3
Tenabo,75,MX,1615070711,78,20.05,-90.2333,78.8,17.27
Busselton,24,AU,1615070464,93,-33.65,115.3333,64.0,1.99
Brae,75,GB,1615070712,81,60.3964,-1.353,44.6,11.5
Ushuaia,40,AR,1615070386,54,-54.8,-68.3,51.8,4.61
Atar,12,MR,1615070598,35,20.5169,-13.0499,69.82,11.97
Phan Thiet,46,VN,1615070712,85,10.9333,108.1,69.71,8.1
Okhotsk,0,RU,1615070210,79,59.3833,143.3,-17.7,16.33
Rikitea,12,PF,1615070465,80,-23.1203,-134.9692,80.19,13.33
Kahului,40,US,1615070269,54,20.8947,-156.47,80.6,19.57
Tasiilaq,90,GL,1615070472,86,65.6145,-37.6368,24.8,14.97
San Quintín,0,MX,1615070200,64,30.4833,-115.95,62.42,20.54
Kenai,90,US,1615070712,64,60.5544,-151.2583,30.99,6.91
Doha,0,QA,1615070403,59,25.2867,51.5333,64.4,10.36
Tsabong,36,BW,1615070523,22,-26.0217,22.401,76.12,4.72
Talā,0,EG,1615070712,91,30.6803,30.9429,47.95,5.12
Atuona,12,PF,1615070462,78,-9.8,-139.0333,79.48,15.35
Baykit,100,RU,1615070371,94,61.67,96.37,16.83,3.69
Labuhan,98,ID,1615070566,84,-6.8844,112.2051,77.05,5.97
Karoi,81,ZW,1615070713,95,-16.8099,29.6925,61.9,4.34
Beringovskiy,70,RU,1615070604,87,63.05,179.3167,-16.42,8.68
Hong Kong,41,HK,1615070467,91,22.2855,114.1577,69.01,1.01
Ribeira Grande,100,PT,1615070566,95,38.5167,-28.7,62.1,10.13
Lüderitz,0,NA,1615070566,47,-26.6481,15.1594,71.01,13.22
Bengkulu,100,ID,1615070470,86,-3.8004,102.2655,73.36,7.31
Punta Arenas,0,CL,1615070458,54,-53.15,-70.9167,51.8,31.07
Dover,90,US,1615070577,45,39.1582,-75.5244,41.0,9.22
Pyaozerskiy,100,RU,1615070559,96,65.8333,31.1667,18.75,14.81
Jiazi,95,CN,1615070713,86,22.8779,116.067,64.92,17.58
Mataura,64,NZ,1615070460,84,-46.1927,168.8643,54.0,13.0
Butaritari,48,KI,1615070466,80,3.0707,172.7902,80.29,13.47
Araouane,56,ML,1615070713,13,18.9048,-3.5265,85.89,10.16
Beloha,0,MG,1615070581,91,-25.1667,45.05,70.07,3.44
Chokurdakh,100,RU,1615070472,89,70.6333,147.9167,-12.24,14.81
Kruisfontein,1,ZA,1615070485,68,-34.0033,24.7314,69.01,4.0
East London,10,ZA,1615070308,82,-33.0153,27.9116,69.87,6.4
Philadelphia,90,US,1615070713,44,39.9523,-75.1638,37.4,13.8
Mount Gambier,100,AU,1615070480,82,-37.8333,140.7667,55.4,4.61
Cockburn Town,0,TC,1615070413,70,21.4612,-71.1419,78.35,5.91
Kimbe,99,PG,1615070180,85,-5.5502,150.1429,78.03,3.22
Kapaa,90,US,1615070460,88,22.0752,-159.319,70.0,26.46
Hilo,90,US,1615070465,83,19.7297,-155.09,72.0,12.66
Assiut,0,EG,1615070543,58,27.181,31.1837,57.2,11.5
Makkah al Mukarramah,0,SA,1615070476,40,21.4267,39.8261,76.98,3.11
Cherskiy,100,RU,1615070469,89,68.75,161.3,-12.55,5.68
Mnogovershinnyy,6,RU,1615070339,87,53.9353,139.9242,-10.77,6.62
Port Elizabeth,0,ZA,1615070474,83,-33.918,25.5701,68.0,17.27
Codrington,97,AU,1615070203,68,-38.2667,141.9667,60.94,6.15
Bethel,98,US,1615070485,54,41.3712,-73.414,28.0,8.46
Talaya,97,RU,1615070561,84,61.3833,152.75,-17.16,2.17
Qaanaaq,0,GL,1615070466,67,77.484,-69.3632,-15.12,6.15
Klyuchi,100,RU,1615070231,97,52.2667,79.1667,22.44,11.01
Port Hedland,40,AU,1615070492,94,-20.3167,118.5667,77.0,6.91
Disna,100,BY,1615070714,92,55.568,28.1971,31.15,21.52
Adrar,2,MR,1615070473,30,20.5022,-10.0711,69.75,14.12
Ola,89,RU,1615070234,78,59.5833,151.2833,-10.46,4.32
Port Alfred,7,ZA,1615070468,89,-33.5906,26.891,69.01,8.01
Hambantota,0,LK,1615070489,100,6.1241,81.1185,73.4,2.3
Maningrida,67,AU,1615070185,84,-12.0667,134.2667,81.81,11.86
Longyearbyen,20,SJ,1615070221,66,78.2186,15.6401,3.2,17.27
Los Palacios,52,CU,1615070715,66,22.5872,-83.2486,75.29,3.33
Thompson,40,CA,1615070484,45,55.7435,-97.8558,42.8,11.5
Buin,0,CL,1615070715,44,-33.7333,-70.75,80.6,6.91
Maumere,80,ID,1615070715,77,-8.6199,122.2111,80.11,0.96
Awjilah,0,LY,1615070715,23,29.1081,21.2869,65.97,9.17
Milak,1,IN,1615070715,29,28.6167,79.1833,61.65,5.41
Bathsheba,20,BB,1615070182,65,13.2167,-59.5167,78.8,17.27
Port Macquarie,56,AU,1615070575,71,-31.4333,152.9167,72.0,2.53
Bambous Virieux,75,MU,1615070492,78,-20.3428,57.7575,81.0,11.5
Barrow,1,US,1615070462,65,71.2906,-156.7887,-5.8,9.22
Upernavik,100,GL,1615070466,88,72.7868,-56.1549,-9.67,10.25
Hithadhoo,65,MV,1615070461,74,-0.6,73.0833,82.76,7.58
Turukhansk,100,RU,1615070716,96,65.8167,87.9833,11.5,7.52
Cidreira,0,BR,1615070496,71,-30.1811,-50.2056,70.93,7.7
Abhā,0,SA,1615070454,54,18.2164,42.5053,60.8,6.91
Biltine,0,TD,1615070567,19,14.5333,20.9167,72.64,9.57
Salalah,0,OM,1615070058,69,17.0151,54.0924,75.2,3.44
Puerto Ayora,75,EC,1615070479,83,-0.7393,-90.3518,80.6,9.22
Hamilton,1,US,1615070305,27,39.1834,-84.5333,46.4,12.66
Nanortalik,100,GL,1615070493,93,60.1432,-45.2371,33.4,7.9
Bluff,77,NZ,1615070470,84,-46.6,168.3333,54.0,13.0
Chhor,0,PK,1615070716,83,25.5167,69.7667,68.59,11.59
Kovdor,100,RU,1615070525,95,67.5662,30.4758,13.77,12.19
Avera,90,US,1615070224,43,33.194,-82.5271,53.6,8.05
Zhanakorgan,100,KZ,1615070717,75,43.9098,67.2495,38.35,9.57
Shingū,72,JP,1615070225,55,33.7333,135.9833,49.37,5.32
La Romana,40,DO,1615070216,78,18.4273,-68.9728,80.6,8.05
Sørland,92,NO,1615070206,87,67.667,12.6934,32.31,28.3
Ailigandí,44,PA,1615070717,78,9.2333,-78.0167,79.63,13.8
Tigil',70,RU,1615070437,87,57.8,158.6667,-19.57,3.13
Ust'-Ilimsk,100,RU,1615070717,94,58.0006,102.6619,25.21,12.28
Bida,0,NG,1615070717,25,9.0833,6.0167,86.61,1.63
Hermanus,1,ZA,1615070461,80,-34.4187,19.2345,64.99,1.99
Nizwá,0,OM,1615070342,28,22.9333,57.5333,67.19,2.15
Ouadda,5,CF,1615070717,18,8.0777,22.4007,74.89,6.35
Hasaki,75,JP,1615070474,65,35.7333,140.8333,42.8,10.36
Khovd,3,MN,1615070348,55,48.0056,91.6419,18.05,4.94
Wanlaweyn,100,SO,1615070515,83,2.6185,44.8938,71.62,8.43
Boda,31,CF,1615070718,21,4.3189,17.4695,75.0,2.98
La Baule-Escoublac,0,FR,1615070718,65,47.2922,-2.364,37.4,6.91
Geraldton,0,AU,1615070481,94,-28.7667,114.6,64.4,5.75
Severo-Kuril'sk,99,RU,1615070472,90,50.6789,156.125,13.96,31.7
San José de Tarros,40,HN,1615070718,62,15.3,-88.7,86.0,4.61
Constitución,20,CL,1615070456,84,-35.3333,-72.4167,60.6,7.25
Kiryat Gat,0,IL,1615070102,84,31.61,34.7642,54.0,4.27
Ürümqi,90,CN,1615070172,93,43.801,87.6005,26.6,2.24
Kaitangata,58,NZ,1615070474,73,-46.2817,169.8464,55.99,1.99
Tiksi,100,RU,1615070471,87,71.6872,128.8694,-18.17,6.67
Pevek,100,RU,1615070474,88,69.7008,170.3133,-17.97,12.84
Sri Aman,99,MY,1615070718,100,1.2376,111.4621,75.2,3.44
Abu Dhabi,0,AE,1615070597,68,24.4667,54.3667,69.8,11.5
Cape Town,0,ZA,1615070291,77,-33.9258,18.4232,66.0,2.3
Xihe,48,CN,1615070718,82,31.6864,113.4659,36.01,5.75
Sikonge,90,TZ,1615070719,94,-5.6333,32.7667,68.0,6.91
Kāmthi,17,IN,1615070719,21,21.2333,79.2,70.07,4.36
Ranong,19,TH,1615070643,88,9.9658,98.6348,72.81,4.21
Nuuk,90,GL,1615070404,80,64.1835,-51.7216,32.0,14.97
Saint-Louis,0,SN,1615070719,20,16.3333,-15.0,86.0,2.3
Goderich,0,CA,1615070708,54,43.7501,-81.7165,26.6,10.36
Luga,100,RU,1615070509,98,58.7372,29.8453,32.02,14.79
Farafenni,5,GM,1615070719,28,13.5667,-15.6,76.39,6.44
Lorengau,59,PG,1615070575,72,-2.0226,147.2712,83.97,6.02
Kualakapuas,20,ID,1615070720,100,-3.0091,114.3876,73.4,4.61
Bilma,0,NE,1615070229,20,18.6853,12.9164,69.17,1.95
Fairbanks,90,US,1615070101,85,64.8378,-147.7164,10.99,3.44
Vila Franca do Campo,75,PT,1615070561,100,37.7167,-25.4333,59.0,11.5
Mosquera,75,CO,1615070584,77,4.7059,-74.2302,60.8,11.5
Saldanha,0,ZA,1615070502,77,-33.0117,17.9442,64.4,1.14
Archidona,98,ES,1615070720,95,37.0965,-4.3887,59.0,0.43
Igurubi,100,TZ,1615070720,87,-4.0,33.7,68.5,9.75
Enumclaw,100,US,1615070721,69,47.2043,-121.9915,51.01,5.99
Vardø,100,NO,1615070511,95,70.3705,31.1107,27.81,21.85
Sooke,99,CA,1615070721,75,48.3746,-123.7276,48.99,13.8
Calibutbut,40,PH,1615070721,83,15.1114,120.6053,73.4,2.3
Dhidhdhoo,0,MV,1615070521,60,6.8833,73.1,81.88,5.21
Kaduna,14,NG,1615070721,18,10.5222,7.4383,76.8,7.27
Lebedinyy,95,RU,1615070721,90,58.5167,125.5167,-1.66,9.6
Lubbeek,10,BE,1615070721,69,50.8828,4.839,33.8,3.44
Boddam,90,GB,1615070721,81,57.4667,-1.7833,41.0,4.61
Villa María,0,AR,1615070187,71,-32.4075,-63.2402,79.0,7.72
Souillac,75,MU,1615070571,78,-20.5167,57.5167,80.6,11.5
Nosivka,0,UA,1615070722,92,50.9315,31.5828,17.73,8.14
Kargasok,98,RU,1615070591,95,59.0556,80.8572,12.63,14.14
Richards Bay,99,ZA,1615070505,77,-28.783,32.0377,72.75,4.88
Bilibino,100,RU,1615070513,84,68.0546,166.4372,-17.64,5.61
Lebu,24,CL,1615070524,88,-37.6167,-73.65,61.23,6.46
Neryungri,96,RU,1615070723,82,56.6709,124.6491,-10.64,2.89
Chui,15,UY,1615070465,80,-33.6971,-53.4616,65.57,5.79
Narsaq,75,GL,1615070723,42,60.9167,-46.05,42.8,9.22
Afuá,100,BR,1615070724,92,-0.1567,-50.3867,76.55,5.14
Emerald,40,AU,1615070724,65,-23.5333,148.1667,82.4,13.8
Antalaha,98,MG,1615070483,70,-14.9003,50.2788,77.4,4.61
Airai,91,TL,1615070585,99,-8.9266,125.4092,63.12,1.72
São Filipe,27,CV,1615070480,75,14.8961,-24.4956,71.26,11.52
Macao,75,MO,1615070724,94,22.2006,113.5461,69.8,9.22
Saint Paul Harbor,1,US,1615070461,43,57.79,-152.4072,30.2,32.21
Tura,0,IN,1615070714,66,25.5198,90.2201,64.74,6.04
Laguna,1,US,1615070367,44,38.421,-121.4238,62.01,6.91
Río Gallegos,20,AR,1615070475,16,-51.6226,-69.2181,64.4,24.16
Páez,75,CO,1615070725,72,5.1011,-73.0512,69.94,1.59
‘Āhuimanu,90,US,1615070564,88,21.4447,-157.8378,75.2,13.8
Buraidah,0,SA,1615070203,47,26.326,43.975,57.2,5.75
Timrå,40,SE,1615070725,46,62.487,17.3257,27.0,13.8
Nikolskoye,75,RU,1615070483,93,59.7035,30.7861,32.0,17.9
Dikson,100,RU,1615070465,88,73.5069,80.5464,-22.22,10.33
Murillo,40,CO,1615070725,54,4.8739,-75.1715,80.6,3.44
Nelson Bay,51,AU,1615070373,82,-32.7167,152.15,70.0,5.75
Mar del Plata,0,AR,1615070320,72,-38.0023,-57.5575,66.99,9.22
Longjiang,0,CN,1615070726,85,47.3303,123.1836,17.08,8.19
College,75,US,1615070346,72,64.8569,-147.8028,10.99,0.89
Faya,0,SA,1615070517,54,18.3851,42.4509,60.8,6.91
Walvis Bay,7,NA,1615069997,77,-22.9575,14.5053,64.4,6.91
Margate,0,GB,1615070726,60,51.3813,1.3862,39.0,1.99
Hereford,0,GB,1615070726,80,52.0568,-2.7148,30.99,1.52
Coyhaique,75,CL,1615070209,48,-45.5752,-72.0662,64.4,11.5
Bowen,90,AU,1615070342,88,-20.0167,148.2333,77.0,2.3
Utinga,40,BR,1615070727,78,-5.8172,-35.3954,80.6,5.75
Saint-François,6,FR,1615070727,93,46.4154,3.9054,37.0,1.14
Ulagan,10,RU,1615070727,75,50.6321,87.9563,5.43,3.29
Westport,75,US,1615070219,37,41.1415,-73.3579,32.0,12.66
Soto la Marina,0,MX,1615070727,50,23.7667,-98.2167,73.0,14.0
Bonavista,86,CA,1615070728,80,48.6499,-53.1147,28.99,8.05
Conselheiro Pena,70,BR,1615070728,75,-19.1722,-41.4722,78.8,1.19
Olinda,40,BR,1615070377,69,-8.0089,-34.8553,80.6,6.91
Chapais,90,CA,1615070214,72,49.7834,-74.8492,5.0,13.8
Nyurba,99,RU,1615070484,93,63.2842,118.3319,-0.54,2.33
Henties Bay,0,NA,1615070565,66,-22.116,14.2845,68.92,3.96
Yulara,28,AU,1615070199,61,-25.2406,130.9889,77.0,6.91
Cabedelo,0,BR,1615070367,89,-6.9811,-34.8339,78.8,5.75
Imbituba,75,BR,1615070357,78,-28.24,-48.6703,75.2,11.5
Yurla,86,RU,1615070728,92,59.3259,54.3223,-2.76,3.38
Belmonte,0,BR,1615070505,78,-15.8631,-38.8828,78.8,14.97
Yārāda,24,IN,1615070728,100,17.65,83.2667,75.2,3.44
Kaeo,100,NZ,1615070520,71,-35.1,173.7833,69.01,5.99
Vila Velha,40,BR,1615070480,78,-20.3297,-40.2925,84.99,5.75
Vyartsilya,80,RU,1615070729,90,62.1764,30.693,16.39,9.15
Faanui,97,PF,1615070729,69,-16.4833,-151.75,83.25,12.21
Voinka,0,UA,1615070729,88,45.8699,33.9914,29.34,6.96
Bukama,100,CD,1615070479,94,-9.2,25.85,69.69,2.24
Verāval,0,IN,1615070183,80,20.9,70.3667,73.45,9.46
Acapulco de Juárez,1,MX,1615070483,70,16.8634,-99.8901,84.2,8.05
Porto-Novo,87,BJ,1615070463,81,6.4965,2.6036,81.75,11.79
Makakilo City,1,US,1615070484,54,21.3469,-158.0858,80.6,11.5
Caruray,40,PH,1615070730,83,10.3094,119.0128,77.0,9.22
Pacific Grove,1,US,1615070178,62,36.6177,-121.9166,57.2,10.36
Piney Green,1,US,1615070730,19,34.716,-77.3202,51.8,9.22
Nouadhibou,0,MR,1615070467,52,20.931,-17.0347,68.0,24.16
Babu,21,CN,1615070730,82,24.4167,111.5167,55.53,5.03
Palembang,98,ID,1615070194,95,-2.9167,104.7458,71.69,6.26
San Patricio,75,US,1615070607,55,28.017,-97.5169,66.99,12.66
Santa Maria,0,BR,1615070181,73,-29.6842,-53.8069,71.6,4.61
Naifaru,0,MV,1615070731,63,5.4444,73.3657,82.26,5.39
Tuktoyaktuk,90,CA,1615070347,78,69.4541,-133.0374,-2.2,10.36
Laas,0,IT,1615070483,80,46.6166,10.7002,37.99,3.44
Moroni,100,KM,1615070731,73,-11.7022,43.2551,80.62,10.94
Okha,0,RU,1615070424,87,53.5739,142.9478,-9.26,14.47
Isangel,30,VU,1615070504,76,-19.55,169.2667,80.46,11.77
Ostrovnoy,100,RU,1615070731,93,68.0531,39.5131,7.12,14.2
Kamenka,69,RU,1615070570,96,51.3223,42.7678,10.51,9.26
Jiuquan,0,CN,1615070200,82,39.7432,98.5174,31.59,1.25
Saýat,90,TM,1615070731,93,38.7839,63.8803,41.0,6.91
Bacalar,40,MX,1615070731,62,18.6667,-88.3833,87.01,10.36
Kalmunai,64,LK,1615070231,87,7.4167,81.8167,77.63,4.18
Port-Gentil,20,GA,1615070212,94,-0.7193,8.7815,77.0,3.44
Catherinas Lust,96,GY,1615070732,83,6.4,-57.6,78.71,12.55
Taoudenni,0,ML,1615070225,18,22.6783,-3.9836,75.6,11.39
Derzhavīnsk,100,KZ,1615070732,98,51.1,66.3167,23.18,5.28
Ahipara,100,NZ,1615070563,61,-35.1667,173.1667,68.63,13.85
Meadow Lake,20,US,1615070732,20,34.8014,-106.5436,64.0,9.22
Saint-Augustin,100,CA,1615070468,97,51.226,-58.6502,19.9,10.18
Sirte,0,LY,1615070223,79,31.2089,16.5887,61.16,5.08
Sumbe,99,AO,1615070732,81,-11.2061,13.8437,79.43,3.96
Khatanga,61,RU,1615070467,86,71.9667,102.5,-21.41,10.38
Coahuayana Viejo,1,MX,1615070564,65,18.7333,-103.6833,78.8,6.58
Kirkland Lake,52,CA,1615070486,45,48.1446,-80.0377,15.8,7.87
Caibarién,40,CU,1615070732,39,22.5206,-79.4669,86.0,14.97
Opuwo,8,NA,1615070370,45,-18.0607,13.84,69.48,4.59
Fortuna,20,US,1615070581,58,40.5982,-124.1573,55.0,10.36
Newcastle,68,AU,1615070474,82,-32.9272,151.7765,75.99,5.75
Lagoa,100,PT,1615070501,97,39.05,-27.9833,60.51,17.9
Novo Aripuanã,94,BR,1615070733,95,-5.1206,-60.3797,76.87,1.41
Kaka,8,TM,1615070490,84,37.3482,59.6143,40.73,6.29
Novoagansk,92,RU,1615070733,94,61.9449,76.6625,0.79,6.91
Freetown,51,SL,1615070733,85,8.484,-13.2299,77.9,8.25
Burnie,77,AU,1615070523,80,-41.0667,145.9167,60.01,3.0
Cap Malheureux,95,MU,1615070733,78,-19.9842,57.6142,81.0,5.99
Acaraú,86,BR,1615070230,80,-2.8856,-40.12,80.08,13.29
Provideniya,94,RU,1615070566,88,64.3833,-173.3,-0.87,8.03
Vestmannaeyjar,99,IS,1615070566,76,63.4427,-20.2734,40.86,6.67
Safonovo,93,RU,1615070733,97,55.15,33.2167,22.53,17.09
Nicoya,0,CR,1615070057,31,10.1483,-85.452,91.4,19.57
Elverum,86,NO,1615070733,86,60.8819,11.5623,25.61,7.38
Ruidoso,1,US,1615070689,32,33.3317,-105.673,51.8,10.36
Yellowknife,90,CA,1615070384,93,62.456,-114.3525,17.6,11.5
Port Hardy,90,CA,1615070483,81,50.6996,-127.4199,44.6,4.61
Galesong,20,ID,1615070734,100,-5.3166,119.3661,73.4,4.61
Rassvet,71,RU,1615070523,93,46.8333,40.75,27.27,11.34
Gornozavodsk,98,RU,1615070734,92,58.3758,58.3211,-3.51,3.02
